no,date,d,t1,t2,time,venue,completed,result,t1score,t1ov,t2score,t2ov,nr,pom,toss,inn1_team,inn2_team,stage
28,"Sun, Apr 19",Apr 19,KKR,RR,3:30 PM,"Eden Gardens, Kolkata",True,KKR won by 4 wickets,161/6,19.4,155/9,20,False,Varun Chakravarthy,"RR won toss, elected to bat",RR,KKR,
29,"Sun, Apr 19",Apr 19,PBKS,LSG,7:30 PM,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",True,PBKS won by 54 runs,254/7,20,200/5,20,False,Priyansh Arya,"LSG won toss, elected to field",PBKS,LSG,
30,"Mon, Apr 20",Apr 20,GT,MI,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,MI won by 99 runs,100/10,15.5,199/5,20,False,Tilak Varma,"GT won toss, elected to field",MI,GT,
31,"Tue, Apr 21",Apr 21,SRH,DC,7:30 PM,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",True,SRH won by 47 runs,242/2,20,195/9,20,False,Abhishek Sharma,"DC won toss, elected to field",SRH,DC,
32,"Wed, Apr 22",Apr 22,LSG,RR,7:30 PM,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",True,RR won by 40 runs,119/10,18,159/6,20,False,Ravindra Jadeja,"LSG won toss, elected to field",RR,LSG,
33,"Thu, Apr 23",Apr 23,MI,CSK,7:30 PM,"Wankhede Stadium, Mumbai",True,CSK won by 103 runs,104/10,19,207/6,20,False,Sanju Samson,"MI won toss, elected to field",CSK,MI,
34,"Fri, Apr 24",Apr 24,RCB,GT,7:30 PM,"M Chinnaswamy Stadium, Bengaluru",True,RCB won by 5 wickets,206/5,18.5,205/3,20,False,Virat Kohli,"RCB won toss, elected to field",GT,RCB,
35,"Sat, Apr 25",Apr 25,DC,PBKS,3:30 PM,"Arun Jaitley Stadium, Delhi",True,PBKS won by 6 wickets,264/2,20,265/4,18.5,False,KL Rahul,"DC won toss, elected to bat",DC,PBKS,
36,"Sat, Apr 25",Apr 25,RR,SRH,7:30 PM,"Sawai Mansingh Stadium, Jaipur",True,SRH won by 5 wickets,228/6,20,229/5,18.3,False,Ishan Kishan,"SRH won toss, elected to field",RR,SRH,
37,"Sun, Apr 26",Apr 26,GT,CSK,3:30 PM,"MA Chidambaram Stadium, Chepauk, Chennai",True,GT won by 8 wickets,162/2,16.4,158/7,20,False,Kagiso Rabada,"GT won toss, elected to field",CSK,GT,
38,"Sun, Apr 26",Apr 26,LSG,KKR,7:30 PM,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",True,KKR won by None runs,155/8,20,155/7,20,False,Rinku Singh,"LSG won toss, elected to field",KKR,LSG,
39,"Mon, Apr 27",Apr 27,DC,RCB,7:30 PM,"Arun Jaitley Stadium, Delhi",True,RCB won by 9 wickets,75/10,16.3,77/1,6.3,False,Josh Hazlewood,"RCB won toss, elected to field",DC,RCB,
40,"Tue, Apr 28",Apr 28,PBKS,RR,7:30 PM,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",True,RR won by 6 wickets,222/4,20,228/4,19.2,False,Donovan Ferreira,"RR won toss, elected to field",PBKS,RR,
41,"Wed, Apr 29",Apr 29,MI,SRH,7:30 PM,"Wankhede Stadium, Mumbai",True,SRH won by 6 wickets,243/5,20,249/4,18.4,False,Heinrich Klaasen,"MI won toss, elected to bat",MI,SRH,
42,"Thu, Apr 30",Apr 30,GT,RCB,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,GT won by 4 wickets,158/6,15.5,155/10,19.2,False,Jason Holder,"GT won toss, elected to field",RCB,GT,
43,"Fri, May 1",May 1,RR,DC,7:30 PM,"Sawai Mansingh Stadium, Jaipur",True,DC won by 7 wickets,225/6,20,226/3,19.1,False,KL Rahul,"RR won toss, elected to bat",RR,DC,
44,"Sat, May 2",May 2,CSK,MI,7:30 PM,"MA Chidambaram Stadium, Chepauk, Chennai",True,CSK won by 8 wickets,160/2,18.1,159/7,20,False,Ruturaj Gaikwad,"MI won toss, elected to bat",MI,CSK,
45,"Sun, May 3",May 3,SRH,KKR,3:30 PM,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",True,KKR won by 7 wickets,165/10,19,169/3,18.2,False,Varun Chakravarthy,"SRH won toss, elected to bat",SRH,KKR,
46,"Sun, May 3",May 3,GT,PBKS,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,GT won by 4 wickets,167/6,19.5,163/9,20,False,Jason Holder,"GT won toss, elected to field",PBKS,GT,
47,"Mon, May 4",May 4,MI,LSG,7:30 PM,"Wankhede Stadium, Mumbai",True,MI won by 6 wickets,229/4,18.4,228/5,20,False,Ryan Rickelton,"MI won toss, elected to field",LSG,MI,
48,"Tue, May 5",May 5,DC,CSK,7:30 PM,"Arun Jaitley Stadium, Delhi",True,CSK won by 8 wickets,155/7,20,159/2,17.3,False,Sanju Samson,"DC won toss, elected to bat",DC,CSK,
49,"Wed, May 6",May 6,SRH,PBKS,7:30 PM,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",True,SRH won by 33 runs,235/4,20,202/7,20,False,Pat Cummins,"PBKS won toss, elected to field",SRH,PBKS,
50,"Thu, May 7",May 7,LSG,RCB,7:30 PM,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",True,LSG won by 9 runs (D/L),209/3,19,203/6,19,False,Mitchell Marsh,"RCB won toss, elected to field",LSG,RCB,
51,"Fri, May 8",May 8,DC,KKR,7:30 PM,"Arun Jaitley Stadium, Delhi",True,KKR won by 8 wickets,142/8,20,147/2,14.2,False,Finn Allen,"KKR won toss, elected to field",DC,KKR,
52,"Sat, May 9",May 9,RR,GT,7:30 PM,"Sawai Mansingh Stadium, Jaipur",True,GT won by 77 runs,152/10,16.3,229/4,20,False,Rashid Khan,"RR won toss, elected to field",GT,RR,
53,"Sun, May 10",May 10,CSK,LSG,3:30 PM,"MA Chidambaram Stadium, Chepauk, Chennai",True,CSK won by 5 wickets,208/5,19.2,203/8,20,False,Jamie Overton,"CSK won toss, elected to field",LSG,CSK,
54,"Sun, May 10",May 10,RCB,MI,7:30 PM,"Shaheed Veer Narayan Singh International Stadium, Raipur",True,RCB won by 2 wickets,167/8,20,166/7,20,False,Bhuvneshwar Kumar,"RCB won toss, elected to field",MI,RCB,
55,"Mon, May 11",May 11,PBKS,DC,7:30 PM,"Himachal Pradesh Cricket Association Stadium, Dharamsala",True,DC won by 3 wickets,210/5,20,216/7,19,False,Madhav Tiwari,"DC won toss, elected to field",PBKS,DC,
56,"Tue, May 12",May 12,GT,SRH,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,GT won by 82 runs,168/5,20,86/10,14.5,False,Kagiso Rabada,"SRH won toss, elected to field",GT,SRH,
57,"Wed, May 13",May 13,RCB,KKR,7:30 PM,"Shaheed Veer Narayan Singh International Stadium, Raipur",True,RCB won by 6 wickets,194/4,19.1,192/4,20,False,Virat Kohli,"RCB won toss, elected to field",KKR,RCB,
58,"Thu, May 14",May 14,PBKS,MI,7:30 PM,"Himachal Pradesh Cricket Association Stadium, Dharamsala",True,MI won by 6 wickets,200/8,20,205/4,19.5,False,Tilak Varma,"MI won toss, elected to field",PBKS,MI,
59,"Fri, May 15",May 15,LSG,CSK,7:30 PM,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",True,LSG won by 7 wickets,188/3,16.4,187/5,20,False,Mitchell Marsh,"LSG won toss, elected to field",CSK,LSG,
60,"Sat, May 16",May 16,KKR,GT,7:30 PM,"Eden Gardens, Kolkata",True,KKR won by 29 runs,247/2,20,218/4,20,False,Sunil Narine,"GT won toss, elected to field",KKR,GT,
61,"Sun, May 17",May 17,PBKS,RCB,3:30 PM,"Himachal Pradesh Cricket Association Stadium, Dharamsala",True,RCB won by 23 runs,199/8,20,222/4,20,False,Venkatesh Iyer,"PBKS won toss, elected to field",RCB,PBKS,
62,"Sun, May 17",May 17,DC,RR,7:30 PM,"Arun Jaitley Stadium, Delhi",True,DC won by 5 wickets,197/5,19.2,193/8,20,False,Mitchell Starc,"DC won toss, elected to field",RR,DC,
63,"Mon, May 18",May 18,CSK,SRH,7:30 PM,"MA Chidambaram Stadium, Chepauk, Chennai",True,SRH won by 5 wickets,180/7,20,181/5,19,False,Ishan Kishan,"CSK won toss, elected to bat",CSK,SRH,
64,"Tue, May 19",May 19,RR,LSG,7:30 PM,"Sawai Mansingh Stadium, Jaipur",True,RR won by 7 wickets,225/3,19.1,220/5,20,False,Vaibhav Sooryavanshi,"RR won toss, elected to field",LSG,RR,
65,"Wed, May 20",May 20,KKR,MI,7:30 PM,"Eden Gardens, Kolkata",True,KKR won by 4 wickets,148/6,18.5,147/8,20,False,Manish Pandey,"KKR won toss, elected to field",MI,KKR,
66,"Thu, May 21",May 21,CSK,GT,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,GT won by 89 runs,140/10,13.4,229/4,20,False,Mohammed Siraj,"CSK won toss, elected to field",GT,CSK,
67,"Fri, May 22",May 22,SRH,RCB,7:30 PM,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",True,SRH won by 55 runs,255/4,20,200/4,20,False,Ishan Kishan,"SRH won toss, elected to bat",SRH,RCB,
68,"Sat, May 23",May 23,LSG,PBKS,7:30 PM,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",True,PBKS won by 7 wickets,196/6,20,200/3,18,False,Shreyas Iyer,"PBKS won toss, elected to field",LSG,PBKS,
69,"Sun, May 24",May 24,MI,RR,3:30 PM,"Wankhede Stadium, Mumbai",True,RR won by 30 runs,175/9,20,205/8,20,False,Jofra Archer,"MI won toss, elected to field",RR,MI,
70,"Sun, May 24",May 24,KKR,DC,7:30 PM,"Eden Gardens, Kolkata",True,DC won by 40 runs,163/10,18.4,203/5,20,False,Kuldeep Yadav,"KKR won toss, elected to field",DC,KKR,
71,"Tue, May 26",May 26,RCB,GT,7:30 PM,"Himachal Pradesh Cricket Association Stadium, Dharamsala",True,RCB won by 92 runs,254/5,20,162/10,19.3,False,Rajat Patidar,"GT won toss, elected to field",RCB,GT,Qualifier 1
72,"Wed, May 27",May 27,RR,SRH,7:30 PM,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",True,RR won by 47 runs,243/8,20,196/10,19.2,False,Vaibhav Sooryavanshi,"SRH won toss, elected to field",RR,SRH,Eliminator
73,"Fri, May 29",May 29,GT,RR,7:30 PM,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",True,GT won by 7 wickets,219/3,18.4,214/6,20,False,Shubman Gill,"RR won toss, elected to bat",RR,GT,Qualifier 2
74,"Sun, May 31",May 31,RCB,GT,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,RCB won by 5 wickets,161/5,18,155/8,20,False,Virat Kohli,"RCB won toss, elected to field",GT,RCB,Final
