match_no,innings,over,runs,wickets
8,1,18,8,0
8,1,19,4,1
8,1,20,14,0
8,2,1,2,1
8,2,2,6,1
8,2,3,5,0
8,2,4,10,0
8,2,5,16,0
8,2,6,3,0
8,2,7,6,0
8,2,8,6,0
8,2,9,12,0
8,2,10,7,1
8,2,11,20,0
8,2,12,14,0
8,2,13,1,0
8,2,14,13,0
8,2,15,17,0
8,2,16,11,0
8,2,17,3,1
8,2,18,8,0
8,2,19,4,0
9,1,1,10,0
9,1,2,7,0
9,1,3,15,0
9,1,4,12,0
9,1,5,13,0
9,1,6,12,0
9,1,7,5,1
9,1,8,6,0
9,1,9,12,0
9,1,10,5,0
9,1,11,10,0
9,1,12,15,0
9,1,13,12,1
9,1,14,14,1
9,1,15,12,0
9,1,16,6,1
9,1,17,11,1
9,1,18,13,0
9,1,19,11,0
9,1,20,9,1
9,2,1,15,0
9,2,2,7,0
9,2,3,10,0
9,2,4,8,0
9,2,5,5,0
9,2,6,11,0
9,2,7,11,0
9,2,8,11,1
9,2,9,14,0
9,2,10,11,0
9,2,11,9,1
9,2,12,15,0
9,2,13,6,2
9,2,14,12,1
9,2,15,16,2
9,2,16,10,0
9,2,17,10,0
9,2,18,15,0
9,2,19,4,0
9,2,20,4,1
10,1,1,1,1
10,1,2,7,0
10,1,3,2,1
10,1,4,1,1
10,1,5,4,0
10,1,6,7,0
10,1,7,4,0
10,1,8,3,1
10,1,9,2,0
10,1,10,4,0
10,1,11,16,0
10,1,12,14,0
10,1,13,8,0
10,1,14,19,0
10,1,15,22,0
10,1,16,9,0
10,1,17,11,0
10,1,18,10,1
10,1,19,2,2
10,1,20,10,2
10,2,1,2,0
10,2,2,14,0
10,2,3,8,0
10,2,4,9,0
10,2,5,5,1
10,2,6,15,0
10,2,7,4,0
10,2,8,10,0
10,2,9,9,0
10,2,10,5,1
10,2,11,8,0
10,2,12,13,0
10,2,13,3,1
10,2,14,3,1
10,2,15,6,0
10,2,16,14,0
10,2,17,10,0
10,2,18,6,1
10,2,19,4,0
10,2,20,12,0
11,1,1,5,0
11,1,2,6,0
11,1,3,6,0
11,1,4,16,0
11,1,5,10,1
11,1,6,8,0
11,1,7,15,0
11,1,8,10,0
11,1,9,11,0
11,1,10,4,0
11,1,11,7,1
11,1,12,16,0
11,1,13,23,0
11,1,14,14,0
11,1,15,2,1
11,1,16,19,0
11,1,17,21,0
11,1,18,14,0
11,1,19,30,0
11,1,20,13,0
11,2,1,10,1
11,2,2,8,1
11,2,3,12,1
11,2,4,11,0
11,2,5,23,0
11,2,6,13,0
11,2,7,7,2
11,2,8,10,0
11,2,9,11,0
11,2,10,4,1
11,2,11,8,0
11,2,12,19,0
11,2,13,3,0
11,2,14,18,0
11,2,15,8,0
11,2,16,13,1
11,2,17,2,1
11,2,18,10,1
11,2,19,14,0
11,2,20,3,1
12,1,1,12,0
12,1,2,4,2
12,1,3,4,0
12,1,4,5,0
13,1,1,22,0
13,1,2,14,0
13,1,3,22,0
13,1,4,4,0
13,1,5,18,1
13,1,6,9,1
13,1,7,8,0
13,1,8,13,0
13,1,9,12,1
13,1,10,10,0
13,1,11,18,0
13,2,1,10,1
13,2,2,12,1
13,2,3,3,1
13,2,4,11,0
13,2,5,10,2
13,2,6,14,0
13,2,7,15,0
13,2,8,19,1
13,2,9,13,1
13,2,10,9,1
13,2,11,7,1
14,1,1,11,0
14,1,2,7,0
14,1,3,9,1
14,1,4,13,0
14,1,5,23,0
14,1,6,5,0
14,1,7,9,0
14,1,8,8,1
14,1,9,5,0
14,1,10,11,0
14,1,11,9,0
14,1,12,23,0
14,1,13,9,0
14,1,14,10,0
14,1,15,9,0
14,1,16,7,0
14,1,17,14,0
14,1,18,3,1
14,1,19,13,0
14,1,20,12,1
14,2,1,14,0
14,2,2,6,0
14,2,3,7,0
14,2,4,9,0
14,2,5,4,0
14,2,6,23,0
14,2,7,8,0
14,2,8,5,0
14,2,9,21,1
14,2,10,4,2
14,2,11,11,0
14,2,12,6,0
14,2,13,12,0
14,2,14,4,1
14,2,15,8,0
14,2,16,16,0
14,2,17,8,2
14,2,18,9,0
14,2,19,23,0
14,2,20,11,2
15,1,1,6,0
15,1,2,10,1
15,1,3,5,0
15,1,4,9,0
15,1,5,10,0
15,1,6,16,0
15,1,7,9,0
15,1,8,9,0
15,1,9,15,0
15,1,10,9,0
15,1,11,4,1
15,1,12,4,1
15,1,13,5,0
15,1,14,1,1
15,1,15,3,0
15,1,16,12,0
15,1,17,17,0
15,1,18,13,0
15,1,19,12,0
15,1,20,12,0
15,2,1,6,0
15,2,2,7,0
15,2,3,18,0
15,2,4,10,0
15,2,5,8,2
15,2,6,7,0
15,2,7,12,0
15,2,8,4,0
15,2,9,12,1
15,2,10,1,0
15,2,11,5,0
15,2,12,6,1
15,2,13,8,1
15,2,14,15,0
15,2,15,8,1
15,2,16,1,1
15,2,17,11,0
15,2,18,13,0
15,2,19,16,0
15,2,20,14,0
16,1,1,13,1
16,1,2,19,0
16,1,3,13,1
16,1,4,10,0
16,1,5,3,1
16,1,6,3,0
16,1,7,4,1
16,1,8,8,0
16,1,9,9,1
16,1,10,7,0
16,1,11,5,1
16,1,12,10,0
16,1,13,15,0
16,1,14,6,1
16,1,15,14,0
16,1,16,11,0
16,1,17,16,0
16,1,18,5,1
16,1,19,9,0
16,1,20,21,0
16,2,1,9,0
16,2,2,12,1
16,2,3,16,0
16,2,4,19,0
16,2,5,17,0
16,2,6,24,0
16,2,7,14,0
16,2,8,18,0
16,2,9,3,2
16,2,10,5,1
16,2,11,4,0
16,2,12,4,0
16,2,13,9,0
16,2,14,9,0
16,2,15,14,0
16,2,16,7,0
16,2,17,7,0
16,2,18,11,0
17,1,1,9,0
17,1,2,11,0
17,1,3,24,0
17,1,4,16,0
17,1,5,24,0
17,1,6,21,0
17,1,7,6,0
17,1,8,9,0
17,1,9,3,2
17,1,10,9,0
17,1,11,11,0
17,1,12,8,0
17,1,13,9,0
17,1,14,9,1
17,1,15,7,0
17,1,16,6,0
17,1,17,15,1
17,1,18,9,0
17,1,19,8,1
17,1,20,5,1
17,2,1,18,0
17,2,2,11,0
17,2,3,11,0
17,2,4,15,0
17,2,5,17,0
17,2,6,21,0
17,2,7,8,1
17,2,8,8,0
17,2,9,9,1
17,2,10,6,0
17,2,11,12,1
17,2,12,14,0
17,2,13,4,0
17,2,14,7,0
17,2,15,18,0
17,2,16,18,0
17,2,17,5,1
17,2,18,14,0
17,2,19,7,0
18,1,1,10,0
18,1,2,10,0
18,1,3,7,0
18,1,4,13,0
18,1,5,9,0
18,1,6,12,0
18,1,7,4,1
18,1,8,8,0
18,1,9,4,0
18,1,10,11,0
18,1,11,15,0
18,1,12,16,0
18,1,13,11,0
18,1,14,11,0
18,1,15,19,0
18,1,16,8,0
18,1,17,5,0
18,1,18,11,0
18,1,19,13,0
18,1,20,15,0
18,2,1,8,0
18,2,2,16,0
18,2,3,12,0
18,2,4,16,0
18,2,5,9,1
18,2,6,5,1
18,2,7,7,1
18,2,8,3,1
18,2,9,6,0
18,2,10,9,0
18,2,11,15,0
18,2,12,15,0
18,2,13,9,1
18,2,14,8,0
18,2,15,15,1
18,2,16,3,1
18,2,17,15,0
18,2,18,10,0
18,2,19,4,1
18,2,20,4,2
19,1,1,4,0
19,1,2,19,1
19,1,3,7,0
19,1,4,15,0
19,1,5,3,1
19,1,6,12,0
19,1,7,9,1
19,1,8,5,0
19,1,9,3,1
19,1,10,3,0
19,1,11,3,0
19,1,12,4,0
19,1,13,9,0
19,1,14,13,0
19,1,15,1,1
19,1,16,7,0
19,1,17,3,1
19,1,18,11,0
19,1,19,15,1
19,1,20,18,1
19,2,1,8,0
19,2,2,9,0
19,2,3,2,0
19,2,4,6,0
19,2,5,20,0
19,2,6,7,1
19,2,7,12,0
19,2,8,5,0
19,2,9,9,0
19,2,10,8,0
19,2,11,8,0
19,2,12,16,0
19,2,13,11,0
19,2,14,7,0
19,2,15,2,1
19,2,16,6,1
19,2,17,9,0
19,2,18,14,0
19,2,19,6,0
20,1,1,13,0
20,1,2,9,0
20,1,3,11,0
20,1,4,10,0
20,1,5,22,0
20,1,6,6,0
20,1,7,4,0
20,1,8,20,0
20,1,9,10,0
20,1,10,10,0
20,1,11,9,1
20,1,12,20,0
20,1,13,23,0
20,1,14,16,0
20,1,15,4,1
20,1,16,7,1
20,1,17,7,0
20,1,18,16,0
20,1,19,13,0
20,1,20,10,1
20,2,1,10,0
20,2,2,11,0
20,2,3,18,0
20,2,4,9,0
20,2,5,8,0
20,2,6,6,0
20,2,7,10,0
20,2,8,8,2
20,2,9,5,0
20,2,10,14,0
20,2,11,9,0
20,2,12,11,0
20,2,13,5,1
20,2,14,14,0
20,2,15,9,1
20,2,16,10,1
20,2,17,9,0
20,2,18,21,0
20,2,19,9,0
20,2,20,26,0
21,1,1,2,1
21,1,2,4,0
21,1,3,10,0
21,1,4,12,0
21,1,5,12,0
21,1,6,11,0
21,1,7,5,1
21,1,8,6,0
21,1,9,11,0
21,1,10,16,0
21,1,11,21,0
21,1,12,13,0
21,1,13,17,0
21,1,14,5,1
21,1,15,9,0
21,1,16,9,1
21,1,17,7,0
21,1,18,24,0
21,1,19,8,1
21,1,20,14,1
21,2,1,1,3
21,2,2,3,1
21,2,3,5,1
21,2,4,11,0
21,2,5,12,0
21,2,6,8,0
21,2,7,11,0
21,2,8,7,0
21,2,9,4,0
21,2,10,8,0
21,2,11,13,0
21,2,12,14,0
21,2,13,12,0
21,2,14,11,0
21,2,15,7,1
21,2,16,10,1
21,2,17,3,2
21,2,18,16,0
21,2,19,3,1
22,1,1,14,0
22,1,2,10,0
22,1,3,7,1
22,1,4,21,0
22,1,5,8,0
22,1,6,12,1
22,1,7,9,0
22,1,8,8,0
22,1,9,5,0
22,1,10,8,0
22,1,11,3,0
22,1,12,13,1
22,1,13,3,0
22,1,14,15,0
22,1,15,6,0
22,1,16,20,0
22,1,17,7,1
22,1,18,6,1
22,1,19,9,0
22,1,20,8,0
22,2,1,7,0
22,2,2,7,1
22,2,3,8,0
22,2,4,6,0
22,2,5,3,1
22,2,6,5,0
22,2,7,10,0
22,2,8,12,0
22,2,9,19,0
22,2,10,4,1
22,2,11,4,2
22,2,12,5,0
22,2,13,1,1
22,2,14,9,0
22,2,15,7,0
22,2,16,13,0
22,2,17,11,0
22,2,18,7,0
